,면적,반려동물 가구밀도,폐사안락사 비율(폐사안락사 수/면적),보호소 밀도,동물병원약국개수,동물병원약국 밀도,target
342,3.71,335.1816712,5.390835579514825,0.2695417789757412,4,6.153846154,0
343,3.13,545.2539936,5.750798722044729,0.3194888178913738,2,1.459854015,0
344,1.18,1561.522034,35.59322033898305,0.8474576271186441,1,0.7352941176,0
345,0.67,2362.898507,19.40298507462687,1.492537313432836,6,5.042016807,0
346,2.35,289.332766,35.74468085106383,0.425531914893617,7,8.139534884,0
347,0.6,839.0066667,21.66666666666667,1.666666666666667,4,9.090909091,0
348,1.46,1927.646575,21.23287671232877,0.684931506849315,5,4.273504274,0
349,0.63,3264.755556,17.46031746031746,1.587301587301587,4,1.078167116,0
350,0.9,3797.157778,12.22222222222222,1.111111111111111,3,0.9584664537,0
351,1.7,1101.1,5.882352941176471,0.5882352941176471,1,0.8474576271,0
352,1.97,950.671066,6.091370558375635,0.5076142131979695,11,16.41791045,0
353,0.62,2558.903226,29.03225806451613,1.612903225806452,13,5.531914894,0
354,0.55,3776.072727,45.45454545454545,1.818181818181818,15,25.0,1
355,0.6,2719.8,33.33333333333334,1.666666666666667,6,4.109589041,0
356,2.32,1110.724138,6.46551724137931,0.4310344827586207,6,9.523809524,0
357,0.48,1980.033333,10.41666666666667,2.083333333333333,11,12.22222222,1
358,0.39,3780.54359,10.25641025641026,2.564102564102564,6,3.529411765,0
359,0.64,2435.1,0.0,0.0,5,2.538071066,0
360,1.01,2315.786139,0.0,0.0,5,8.064516129,0
361,0.81,1408.283951,0.0,0.0,5,9.090909091,0
362,11.53,320.7254987,0.0,0.0,5,8.333333333,0
363,0.88,2330.578409,18.18181818181818,1.136363636363636,5,2.155172414,0
364,1.05,2207.48,11.42857142857143,0.9523809523809523,3,6.25,1
365,0.67,1793.368657,31.34328358208955,1.492537313432836,6,15.38461538,1
366,0.95,2133.423158,7.36842105263158,1.052631578947368,5,7.8125,1
367,0.7,2770.66,17.14285714285714,1.428571428571429,5,4.95049505,0
368,0.31,1411.548387,45.16129032258065,3.225806451612903,7,8.641975309,0
369,0.26,2505.8,11.53846153846154,3.846153846153846,16,1.387684302,0
370,0.23,2112.286957,52.17391304347826,4.347826086956522,6,6.818181818,0
371,0.97,1466.83299,0.0,0.0,6,5.714285714,0
372,0.71,3083.087324,8.450704225352114,1.408450704225352,6,8.955223881,0
373,1.57,1920.122293,3.821656050955414,0.6369426751592356,6,6.315789474,0
374,0.79,2992.283544,8.860759493670885,1.265822784810126,6,8.571428571,0
375,2.33,941.783691,0.0,0.0,1,3.225806452,0
376,1.2,1139.18,32.5,0.8333333333333334,2,7.692307692,0
377,1.18,2917.520339,16.10169491525424,0.8474576271186441,2,8.695652174,1
378,0.3,3280.16,6.666666666666667,3.333333333333333,2,2.06185567,0
379,2.57,339.0011673,5.447470817120623,0.3891050583657588,8,11.26760563,0
380,0.9,2369.881111,0.0,0.0,8,5.095541401,0
381,1.12,1610.164286,0.0,0.0,8,10.12658228,0
382,8.87,132.0806088,5.186020293122887,0.112739571589628,3,8.823529412,0
383,0.77,1620.280519,10.38961038961039,1.298701298701299,21,9.012875536,1
384,1.59,1332.271698,9.433962264150942,0.6289308176100629,11,9.166666667,0
385,1.14,319.3385965,9.649122807017545,0.8771929824561404,5,4.237288136,0
386,1.55,1630.069677,7.096774193548387,0.6451612903225806,6,20.0,0
387,0.51,3697.866667,17.64705882352941,1.96078431372549,3,1.167315175,0
388,2.9,657.3603448,0.0,0.0,6,6.666666667,0
389,3.01,680.1976744,0.0,0.0,1,0.8928571429,0
390,1.72,1039.813953,10.46511627906977,0.5813953488372093,2,0.2254791432,0
391,0.59,1860.79322,0.0,0.0,5,6.493506494,0
392,0.42,3977.802381,0.0,0.0,5,3.144654088,0
393,0.72,3778.805556,13.88888888888889,1.388888888888889,2,1.754385965,0
394,1.12,1470.120536,7.142857142857142,0.8928571428571428,4,2.580645161,0
395,1.58,1111.181013,0.0,0.0,4,7.843137255,0
396,2.06,1074.294175,0.0,0.0,10,3.448275862,0
397,1.23,1535.868293,0.0,0.0,7,2.325581395,0
398,1.05,1035.822857,0.0,0.0,6,3.488372093,0
399,0.81,1579.844444,0.0,0.0,5,3.571428571,0
400,1.12,4450.478571,0.0,0.0,6,10.16949153,0
401,0.45,3423.573333,0.0,0.0,6,14.28571429,0
402,0.53,3224.739623,0.0,0.0,6,8.333333333,0
403,0.82,2216.882927,0.0,0.0,7,6.25,0
404,1.11,1983.578378,0.0,0.0,5,3.164556962,0
405,0.53,4095.011321,0.0,0.0,4,1.941747573,0
406,0.98,3137.020408,0.0,0.0,5,4.06504065,0
407,1.16,3094.944828,15.51724137931035,0.8620689655172414,5,4.761904762,0
408,0.33,3596.009091,12.12121212121212,3.03030303030303,6,7.407407407,0
409,0.76,1315.557895,39.47368421052632,1.315789473684211,6,5.357142857,0
410,0.84,457.0357143,11.90476190476191,1.19047619047619,6,13.33333333,0
411,0.44,1934.259091,0.0,0.0,6,11.32075472,0
